哀兵必胜 骄兵必败
大模大样 大摇大摆
大年节 除夕
大批 大量
大权独揽 大权在握
大权在握 大权独揽
大失所望 大喜过望
大失所望 心满意足
大师 巨匠
大喜过望 如获至宝
大喜过望 喜出望外
大显身手 大显神通
大显神通 大显身手
大相径庭 天壤之别
大摇大摆 大模大样
大义凛然 正气凛然
大意 粗心
大有作为 庸庸碌碌
大约 大概
大张旗鼓 声势浩大
大张旗鼓 兴师动众
大张旗鼓 轰轰烈烈
大致 大抵
大致 大体
大众 民众
大篆 籀文
大宗 大批
呆板 死板
呆笨 愚拙
呆若木鸡 目瞪口呆
呆头呆脑 没头没脑
呆滞 凝滞
歹徒 暴徒
歹意 恶意
代办 代理
代理 代办
代理 署理
代替 取代
带领 率领
带路 引路
带同 携同
怠惰 懒惰
逮捕 拘捕
戴罪立功 立功赎罪
丹青 图画
丹心 赤忱
单薄 薄弱
单调 枯燥
单独 独自
单身 独身
单身 独身
单身 独身
担当 担负
担负 担当
担任 担负
担心 担忧
担忧 担心
耽搁 耽误
耽误 延误
胆破心惊 心胆俱寒
胆怯 恐惧
胆小鬼 懦夫
胆小如鼠 浑身是胆
但凡 凡是
但是 然而
诞辰 生日
诞生 出生
弹压 镇压
弹指之间 转瞬之间
淡泊 恬淡
淡泊 恬澹
淡薄 淡漠
淡漠 淡薄
淡然 漠然
当机立断 毫不犹豫
当机立断 毅然决然
当机立断 应机立断
当即 立即
当务之急 事不宜迟
当心 小心
当选 入选
当选 中选
当真 认真
荡然无存 无影无踪
荡然无存 依然如故
荡瑕涤秽 除污去垢
档次 品位
刀锯不辞 死生无惧
刀口上舔血 刀头舔血
刀山火海 龙潭虎穴
刀头舔血 刀口上舔血
导火线 引火线
导游 向导
倒背如流 滚瓜烂熟
倒持泰阿 授人以柄
倒持泰阿 受人以柄
倒履相迎 扫径以待
倒霉 不幸
倒霉 晦气
倒霉 走运
倒台 垮台
倒台 塌台
倒台 坍台
倒运 倒霉
倒置 颠倒
捣蛋 捣鬼
捣鬼 捣乱
捣乱 捣蛋
捣乱 扰乱
祷告 祈祷
到达 达到
到手 得手
悼念 吊唁
盗窃 偷盗
盗贼 响马
道别 作别
道贺 道喜
道理 情理
道路 途径
道貌岸然 一本正经
道歉 报歉
道士 羽士
道听 途说
一人传虚 万人传实
道喜 道贺
道谢 鸣谢
稻粱谋 衣食计
得不偿失 得失相当
得逞 未遂
得寸进尺 贪得无厌
得寸进尺 软土深掘
得当 切当
得陇望蜀 得寸进尺
得手 到手
得悉 获悉
得意 自得
得意忘形 得意洋洋
得意忘形 趾高气扬
得意洋洋 得意忘形
得意洋洋 喜气洋洋
得知 得悉
德才兼备 品学兼优
德高望重 丧尽天良
的当 确当
的确 确实
灯红酒绿 纸醉金迷
登峰造极 至高无上
登高一呼 振臂一呼
登时 顿时
登载 刊登
等待 等候
等待 期待
等候 等待
等量齐观 平起平坐
等量齐观 相提并论
等闲 轻易
等于 即是
瞪眼 努目
低沉 消沉
低级 初级
低价 廉价
低贱 卑贱
低劣 拙劣
低三下四 低声下气
低声密语 交头接耳
低头 抬头
低微 卑微
敌视 仇视
诋毁 毁谤
底本 原本
底本 蓝本
底细 内情
抵触 抵牾
抵达 到达
抵挡 招架
抵抗 抵御
抵牾 抵触
抵消 对消
抵押 典质
抵御 抵抗
地步 田地
地道 隧道
地方 处所
地蜡 白蜡
地理 地舆
地利 天时
地区 地域
地图 舆图
地位 位置
地舆 地理
地域 地区
地志 舆志
第一版 初版
缔姻 联婚
颠簸 平稳
颠倒 倒置
颠倒错乱 颠三倒四
颠倒黑白 颠倒是非
颠倒黑白 混淆黑白
颠倒黑白 混淆是非
颠倒是非 颠倒黑白
颠覆 推翻
颠沛流离 流离失所
颠三倒四 神魂颠倒
颠三倒四 颠倒错乱
典范 典型
典范 范例
典礼 仪式
典型 典范
典质 抵押
点头 拍板
点头 摇头
点缀 装点
电光石火 稍纵即逝
电影 片子
玷辱 玷污
玷污 玷辱
惦记 惦念
惦念 惦记
惦念 想念
刁滑 滑头
凋零 凋落
凋落 凋零
凋谢 凋零
碉堡 堡垒
雕琢 雕刻
吊挂 悬挂
吊民伐罪 除暴安良
吊销 撤消
吊唁 悼念
钓饵 诱饵
调兵遣将 兴师动众
调查 考察
调处 调解
调和 协调
调和 折衷
调换 更换
调剂 调解
调解 调停
调解 调剂
调理 调节
调皮 俏皮
调皮 淘气
调皮 淘气
调皮 淘气
调停 调处
调整 调剂
掉包 偷换
掉队 落伍
掉以轻心 漫不经心
跌宕 跌荡
跌宕放诞 跌荡
跌荡 跌宕放诞
跌荡放诞 跌宕
